,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Name,Preferred_Position,Height,Weight,Age,Weak_foot,Skill_Moves,Ball_Control,Dribbling,Marking,Sliding_Tackle,Standing_Tackle,Aggression,Reactions,Attacking_Position,Interceptions,Vision,Composure,Crossing,Short_Pass,Long_Pass,Acceleration,Speed,Stamina,Strength,Balance,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,Freekick_Accuracy,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Lionel Messi,RW,21.42857143,70.45454545,50,75,75,95,97,13,26,28,48,95,93,22,90,94,77,88,87,92,87,74,59,95,90,68,71,85,95,88,89,90,74,85,14,6,15,11,8
Neymar,LW,30.95238095,65.90909091,31.81818182,100,100,95,96,21,33,24,56,88,90,36,80,80,75,81,75,93,90,79,49,82,96,61,62,78,89,77,79,84,81,83,15,9,15,9,11
Luis Suíçrez,ST,50,85.22727273,54.54545455,75,75,91,86,30,38,45,78,93,92,41,84,83,77,83,64,88,77,89,76,60,86,69,77,87,94,86,86,84,85,88,33,27,31,25,37
Manuel Neuer,GK,76.19047619,93.18181818,59.09090909,75,0,48,30,10,11,10,29,85,12,30,70,70,15,55,59,58,61,44,83,35,52,78,25,25,13,16,14,11,47,11,91,89,95,90,89
De Gea,GK,76.19047619,81.81818182,36.36363636,50,0,31,13,13,13,21,38,88,12,30,68,60,17,31,32,56,56,25,64,43,57,67,21,31,13,12,21,19,40,13,86,88,87,85,90
Robert Lewandowski,ST,57.14285714,78.40909091,45.45454545,75,50,87,85,25,19,42,80,88,89,39,78,87,62,83,65,79,82,79,84,79,78,84,85,86,91,82,77,76,81,86,8,15,12,6,10
Gareth Bale,RW,52.38095238,72.72727273,40.90909091,50,75,88,89,51,52,55,65,87,86,59,79,85,87,86,80,93,95,78,80,65,77,85,86,91,87,90,86,85,76,76,5,15,11,15,6
Zlatan IbrahimoviÛˆ,ST,80.95238095,96.59090909,77.27272727,75,75,90,87,15,27,41,84,85,86,20,83,91,76,84,76,69,74,75,93,41,86,72,80,93,90,88,82,82,91,93,9,13,10,15,12
Thibaut Courtois,GK,90.47619048,92.04545455,27.27272727,50,0,23,13,11,16,18,23,81,13,15,44,52,14,32,31,46,52,38,70,45,61,68,13,36,14,17,19,11,27,12,86,84,69,91,89
Jí©ríÇme Boateng,CB,73.80952381,90.90909091,45.45454545,75,25,72,67,90,91,92,82,84,47,84,76,86,69,75,80,74,81,75,91,54,58,75,86,79,34,58,56,31,46,53,6,7,15,12,5
Gonzalo Higuaí_n,ST,54.76190476,93.18181818,50,75,50,85,84,12,18,22,50,86,92,20,70,84,68,73,59,79,81,73,85,69,75,77,80,86,92,80,74,62,70,88,5,5,7,12,10
Thiago Silva,CB,52.38095238,78.40909091,63.63636364,50,50,80,68,90,89,91,77,84,59,91,74,80,60,79,81,72,76,74,81,68,75,93,82,78,38,71,61,73,71,63,9,9,5,12,10
Sergio Ramos,CB,52.38095238,73.86363636,59.09090909,50,50,83,61,85,90,89,84,82,52,88,63,76,66,76,70,77,78,84,81,60,80,92,90,79,60,55,73,67,68,66,7,11,9,8,11
Sergio Agí_ero,ST,28.57142857,68.18181818,45.45454545,75,75,89,89,13,12,20,57,88,91,24,83,90,70,79,63,92,86,74,73,90,86,80,68,87,90,84,82,72,80,85,11,13,6,15,14
Diego Godí_n,CB,57.14285714,71.59090909,59.09090909,50,25,76,53,87,89,86,86,85,48,88,52,80,55,79,70,62,67,69,80,58,63,89,92,67,42,43,49,51,50,47,5,6,15,8,15
Mats Hummels,CB,71.42857143,93.18181818,45.45454545,50,25,77,68,85,87,92,66,85,56,89,79,91,64,78,82,62,65,66,85,58,64,68,90,71,55,51,65,53,68,60,5,15,10,6,6
Hugo Lloris,GK,64.28571429,81.81818182,54.54545455,0,0,34,10,12,18,10,31,84,10,27,30,64,13,27,31,65,63,41,43,54,55,74,10,23,10,14,11,10,40,11,82,87,68,87,90
Giorgio Chiellini,CB,61.9047619,84.09090909,63.63636364,25,25,55,56,92,90,92,90,78,28,88,50,78,58,55,59,69,79,69,91,65,59,89,80,78,33,49,60,31,50,45,4,3,2,3,3
Pepe,CB,64.28571429,80.68181818,72.72727273,50,25,62,58,88,89,87,94,84,40,88,48,68,46,70,61,65,75,64,84,49,63,76,82,63,46,56,44,47,57,23,9,8,5,15,10
Petr Ûëech,GK,83.33333333,90.90909091,72.72727273,50,0,22,12,11,12,13,17,86,13,23,53,70,19,35,33,42,50,32,65,34,49,51,19,21,12,11,13,19,23,17,85,83,77,90,85
Gianluigi Buffon,GK,73.80952381,92.04545455,95.45454545,25,0,28,26,10,11,11,38,80,12,28,50,80,13,37,35,49,43,39,69,49,55,75,13,39,15,13,20,13,22,17,90,87,68,88,84
Iniesta,CM,23.80952381,65.90909091,63.63636364,75,75,93,90,57,56,57,58,88,85,68,94,88,79,92,86,74,73,64,59,86,82,54,54,65,73,74,80,70,71,74,13,6,6,13,7
Jan Oblak,GK,66.66666667,87.5,27.27272727,50,0,16,12,14,18,12,34,84,11,19,55,55,13,29,26,43,60,41,78,49,67,76,15,22,11,12,13,14,11,13,87,83,77,90,82
Leonardo Bonucci,CB,69.04761905,85.22727273,50,50,25,75,68,84,88,88,82,84,38,90,74,82,44,75,83,65,75,73,85,55,61,85,84,74,37,65,56,61,70,55,2,2,3,2,4
Ivan RakitiÛˆ,CM,54.76190476,77.27272727,50,50,50,87,84,52,53,65,67,79,80,69,87,81,81,87,92,67,65,76,63,66,71,51,58,84,83,88,88,84,78,80,5,14,12,11,9
Samir HandanoviÛç,GK,76.19047619,89.77272727,63.63636364,25,0,24,18,17,13,10,25,83,12,22,41,72,12,36,34,54,57,41,71,36,42,78,10,22,10,19,12,14,23,12,86,86,69,89,86
Piquí©,CB,76.19047619,85.22727273,54.54545455,50,25,78,59,86,86,87,72,84,58,88,62,76,57,81,80,56,73,69,83,44,58,74,83,62,64,51,58,43,69,57,15,10,14,11,8
Bernd Leno,GK,69.04761905,82.95454545,31.81818182,75,0,22,16,8,18,15,28,81,7,22,53,62,9,37,33,46,52,43,68,44,52,73,13,23,9,14,9,8,23,10,85,85,76,86,83
Jordi Alba,LB,21.42857143,65.90909091,45.45454545,50,50,84,80,81,83,84,75,82,77,83,68,75,83,79,70,93,93,90,66,86,90,81,63,64,73,66,77,64,59,60,6,13,13,15,13
Diego Costa,ST,64.28571429,85.22727273,45.45454545,75,50,83,79,28,34,39,93,85,88,40,74,84,65,67,52,76,78,85,91,52,58,64,82,84,89,72,62,59,76,82,8,11,12,13,11
Edinson Cavani,ST,54.76190476,69.31818182,54.54545455,50,50,80,80,24,27,45,82,85,89,48,77,81,70,75,50,76,79,90,74,59,82,88,88,85,85,78,75,74,84,84,13,12,13,5,10
Marcelo,LB,30.95238095,73.86363636,45.45454545,75,75,87,83,80,87,84,84,85,75,83,75,76,87,81,76,77,80,82,77,82,77,77,70,83,67,66,80,67,59,54,5,12,5,5,9
Miranda,CB,59.52380952,77.27272727,63.63636364,50,25,67,62,89,89,90,83,82,43,88,53,80,48,65,65,68,76,65,81,58,62,82,84,70,43,41,32,39,49,51,13,12,10,6,12
Karim Benzema,ST,61.9047619,78.40909091,50,75,75,86,82,13,12,15,65,83,87,22,85,82,75,86,47,79,82,74,78,60,77,70,78,83,87,77,79,73,82,79,5,13,5,11,7
Andrea Barzagli,CB,61.9047619,88.63636364,77.27272727,50,25,65,60,90,90,90,74,82,28,92,58,82,40,65,65,69,79,69,87,65,59,85,76,54,27,39,50,31,60,35,2,4,4,2,4
Harry Kane,ST,64.28571429,86.36363636,22.72727273,50,50,82,77,41,38,36,74,85,86,35,72,83,70,75,67,69,77,84,84,62,74,70,83,86,88,80,71,66,82,70,14,8,11,10,11
Alexandre Lacazette,ST,33.33333333,71.59090909,31.81818182,75,75,84,85,23,30,42,70,85,87,40,77,86,70,80,68,84,87,80,79,84,87,78,76,81,87,74,74,78,84,82,5,11,9,6,6
Keylor Navas,GK,57.14285714,77.27272727,54.54545455,50,0,19,16,12,14,14,32,82,16,20,54,49,11,30,37,54,53,39,75,61,60,74,11,21,15,13,11,15,25,11,80,87,72,82,85
Romelu Lukaku,ST,69.04761905,95.45454545,22.72727273,75,50,79,76,27,30,30,72,77,85,27,70,84,68,71,68,81,89,80,93,48,62,71,83,88,87,76,64,66,80,76,7,8,14,15,10
Toby Alderweireld,CB,61.9047619,92.04545455,45.45454545,50,25,70,61,86,83,88,79,84,56,86,64,81,64,77,81,63,69,75,81,49,60,83,83,86,45,66,63,69,60,38,16,16,14,6,14
Sokratis,CB,59.52380952,85.22727273,45.45454545,50,25,58,58,87,86,89,90,81,50,80,52,82,47,64,64,73,83,74,86,67,63,84,84,79,44,44,37,35,38,46,12,6,5,8,5
Marek HamÅçik,CM,52.38095238,78.40909091,50,75,50,86,83,60,62,71,56,86,84,70,86,77,78,87,81,75,77,83,69,63,76,72,74,79,78,82,80,72,70,79,14,8,4,6,14
Stí©phane Ruffier,GK,64.28571429,94.31818182,54.54545455,50,0,15,12,11,11,12,31,77,12,25,49,57,11,33,34,45,50,37,76,55,51,72,12,21,11,11,17,12,25,13,85,82,77,84,87
Laurent Koscielny,CB,59.52380952,73.86363636,59.09090909,50,25,67,62,83,86,87,90,82,31,86,56,80,54,76,69,78,80,77,76,62,70,86,84,54,32,47,22,49,51,35,11,13,9,11,7
Filipe Luí_s,LB,50,76.13636364,59.09090909,50,50,81,77,85,86,83,81,83,71,82,70,78,84,78,77,77,83,91,74,60,74,62,68,71,59,60,74,75,65,56,9,11,9,15,5
Vincent Kompany,CB,76.19047619,85.22727273,54.54545455,50,25,66,63,85,86,88,81,83,41,77,59,85,61,65,66,68,69,68,87,42,60,73,84,75,45,55,61,52,63,46,8,10,5,9,6
Aymeric Laporte,CB,66.66666667,85.22727273,18.18181818,25,25,71,55,86,85,88,72,82,54,85,52,68,58,73,78,68,71,73,84,55,49,77,85,70,45,47,62,77,35,40,14,10,5,11,5
Carvajal,RB,28.57142857,71.59090909,31.81818182,50,25,83,76,85,86,85,81,81,61,82,57,69,83,81,71,78,85,84,75,79,82,76,65,64,41,36,72,47,45,34,9,13,15,13,15
Raphaí‚l Varane,CB,71.42857143,77.27272727,22.72727273,50,25,75,57,84,85,86,73,79,44,82,56,66,36,72,74,80,83,70,84,47,58,79,83,52,40,53,46,54,43,42,5,11,9,11,14
Mauro Icardi,ST,47.61904762,73.86363636,27.27272727,75,25,79,75,17,21,21,35,83,89,22,64,76,46,73,54,78,80,72,76,76,75,90,84,81,89,70,58,45,78,81,7,13,5,9,9
Lorenzo Insigne,LW,4.761904762,55.68181818,31.81818182,50,75,90,88,16,22,24,34,80,83,26,85,72,82,81,72,94,86,77,44,93,96,55,56,68,71,79,78,75,61,74,9,8,14,4,10
Kostas Manolas,CB,66.66666667,82.95454545,31.81818182,25,25,65,54,88,87,86,86,81,25,85,22,75,27,60,61,79,80,79,84,60,69,86,80,43,10,12,30,10,26,16,15,8,8,6,12
Danijel SubaÅçiÛˆ,GK,71.42857143,84.09090909,63.63636364,25,0,19,11,15,13,14,31,79,15,20,52,65,11,24,26,51,54,32,80,37,42,75,13,24,10,14,24,66,23,13,83,82,79,79,84
Nicolíçs Otamendi,CB,52.38095238,80.68181818,50,50,25,64,41,81,83,84,89,78,49,82,45,74,52,70,66,68,75,78,81,62,71,90,85,69,53,56,50,39,44,56,11,12,8,5,12
Shkodran Mustafi,CB,54.76190476,81.81818182,27.27272727,50,25,70,53,82,85,83,79,81,50,85,55,71,51,77,69,67,73,74,81,69,66,85,81,66,58,52,55,47,54,51,10,11,15,9,6
Kamil Glik,CB,69.04761905,79.54545455,50,25,25,59,51,86,82,86,86,76,24,87,23,73,29,59,59,56,63,69,88,55,33,79,84,57,11,20,35,26,39,17,8,10,5,14,10
Nicolíçs Gaitíçn,LM,28.57142857,65.90909091,50,25,75,85,86,30,43,42,57,84,79,40,82,80,83,82,78,85,80,71,50,81,87,68,54,72,73,74,88,72,71,81,7,8,9,11,5
Bruno,CM,54.76190476,71.59090909,63.63636364,50,50,83,75,70,85,84,79,84,69,85,83,86,60,87,86,52,52,76,77,59,53,66,61,84,66,81,72,77,75,48,11,13,9,10,8
David Luiz,CB,66.66666667,84.09090909,50,50,50,79,66,80,84,85,84,79,54,82,69,70,68,79,78,72,73,77,77,56,74,82,82,77,56,71,70,76,75,67,7,11,10,12,14
Ralf Fí_hrmann,GK,83.33333333,96.59090909,45.45454545,25,0,24,15,12,10,12,36,84,11,23,42,61,14,25,26,38,47,32,79,36,39,72,14,24,11,9,18,11,21,11,85,83,51,86,87
Sergio Asenjo,GK,66.66666667,87.5,40.90909091,50,0,14,15,12,14,15,20,79,12,22,46,39,24,39,39,59,54,43,73,58,62,73,13,24,14,23,23,22,15,22,82,86,76,83,85
í_ver Banega,CAM,30.95238095,69.31818182,45.45454545,75,75,87,85,57,61,69,69,82,75,70,88,82,80,88,85,75,69,69,67,86,86,59,45,74,65,77,83,81,67,65,7,13,7,8,10
Medhi Benatia,CB,69.04761905,97.72727273,50,50,25,65,64,86,84,86,84,78,39,80,47,78,45,65,65,69,69,69,89,55,59,83,85,59,49,24,34,27,41,31,7,7,8,4,11
Steve Mandanda,GK,57.14285714,81.81818182,63.63636364,50,0,17,15,10,13,15,37,81,11,23,55,63,14,37,28,53,43,31,61,36,52,74,13,24,13,11,13,12,11,13,80,86,77,80,85
Dani Alves,RB,26.19047619,65.90909091,68.18181818,50,50,85,84,72,84,80,78,82,72,82,78,82,84,81,77,79,83,75,55,87,85,79,72,86,60,78,78,74,70,68,6,5,9,11,7
Aduriz,ST,50,77.27272727,81.81818182,50,50,80,79,46,49,44,82,85,86,23,73,87,54,71,52,69,71,66,82,57,53,93,94,83,85,80,61,54,77,84,15,14,9,10,9
Eric Bailly,CB,61.9047619,76.13636364,18.18181818,50,25,63,59,83,86,85,86,75,44,85,41,69,41,72,56,79,83,81,84,65,76,86,79,55,33,48,46,43,46,36,9,14,10,14,8
Josí© Marí_a Gimí©nez,CB,57.14285714,79.54545455,18.18181818,50,25,56,47,85,87,86,89,76,24,85,27,60,47,68,58,68,72,70,83,51,57,90,79,72,37,48,36,44,38,30,10,9,7,11,15
Gerí_nimo Rulli,GK,66.66666667,79.54545455,27.27272727,50,0,15,15,16,17,13,26,77,12,21,58,30,12,32,23,54,48,42,73,50,58,68,12,24,15,17,19,20,24,16,82,85,75,79,86
Carlos Bacca,ST,47.61904762,76.13636364,54.54545455,25,50,80,80,12,14,16,68,82,87,34,66,80,60,72,50,83,83,74,76,75,78,77,76,78,88,70,72,58,79,82,5,12,8,12,8
William Carvalho,CDM,61.9047619,82.95454545,27.27272727,75,50,78,79,77,71,85,75,74,64,84,77,87,58,83,86,52,53,84,88,54,45,68,72,63,55,63,66,50,60,57,14,6,5,6,14
Karim Bellarabi,RM,52.38095238,79.54545455,36.36363636,50,75,84,87,28,33,30,59,81,80,38,79,72,78,81,62,91,90,76,68,78,87,75,48,85,75,78,70,58,57,72,11,10,7,12,10
Kalidou Koulibaly,CB,80.95238095,89.77272727,31.81818182,25,25,57,54,85,84,86,86,79,24,81,34,67,30,57,48,69,78,75,93,48,53,78,78,55,19,15,28,28,33,14,13,7,7,11,5
Danilo Pereira,CDM,64.28571429,82.95454545,31.81818182,50,25,77,77,80,78,85,89,77,68,85,69,83,50,81,79,67,69,89,89,60,58,67,77,77,56,64,48,53,52,56,14,9,13,7,15
Timo Horn,GK,73.80952381,90.90909091,22.72727273,75,0,22,20,11,12,13,41,80,15,22,55,20,19,35,32,45,51,31,67,31,50,64,14,22,13,17,12,15,21,14,82,80,83,82,84
Casemiro,CDM,54.76190476,79.54545455,31.81818182,50,25,77,69,79,85,86,87,78,66,84,72,73,52,80,82,59,62,85,82,57,66,87,74,86,59,75,59,74,66,53,12,13,16,14,12
Anthony Lopes,GK,54.76190476,80.68181818,36.36363636,25,0,21,15,13,13,15,35,85,17,25,52,55,19,32,31,60,64,33,65,62,65,85,16,20,18,18,15,14,16,13,77,86,80,79,87
Mattia Perin,GK,64.28571429,72.72727273,27.27272727,50,0,23,19,14,19,12,25,79,12,19,44,58,11,33,31,57,56,30,52,30,70,75,12,23,11,17,15,13,21,19,78,80,71,85,90
Joel Matip,CB,80.95238095,90.90909091,31.81818182,25,25,71,68,85,78,84,81,81,51,84,72,80,54,77,77,67,77,75,80,50,58,65,88,66,36,48,63,22,42,50,7,11,10,15,10
Marc-Andrí© ter Stegen,GK,61.9047619,85.22727273,27.27272727,75,0,18,17,10,10,13,43,80,11,22,57,66,15,30,38,38,50,35,79,43,37,82,11,22,13,10,18,12,25,14,78,84,83,81,85
